Column1	Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11
Inpp5j	chr11	3504820	3504821	-	Inpp5j	NM_172439.3	3473	chr11	3498562	3510605	0
Irf8	chr8	120736357	120736358	+	Irf8	NM_008320.4	2847	chr8	120679355	121542650	0
Izumo1	chr7	45621810	45621811	+	Izumo1	NM_001018013.1	1493	chr7	45614038	45651517	0
Kcnj12	chr11	61065803	61065804	+	Kcnj12	NM_010603.6	4599	chr11	61059366	61081711	0
Kcnn3	chr3	89520163	89520164	+	Kcnn3	NM_080466.2	7617	chr3	89501581	89657737	0
Kif21a	chr15	91050207	91050208	-	Kif21a	XM_017316478.1	6297	chr15	91049981	91107221	0
Klhl36	chr8	119862230	119862231	+	Klhl36	XR_001778433.1	1599	chr8	119609201	119911059	0
Krt80	chr15	101367862	101367863	-	Krt80	XM_006521487.3	3069	chr15	101347625	101439597	0
Krt90	chr15	101562949	101562950	-	Krt90	NM_177717.4	2534	chr15	101522741	101576669	0
Lgi2	chr5	52555732	52555733	-	Lgi2	XM_006503965.3	5654	chr5	52526197	52608388	0
Lrfn3	chr7	30362771	30362772	-	Lrfn3	NM_175478.2	2861	chr7	30331354	30365231	0
Lrrc16b	chr14	55493426	55493427	+	Lrrc16b	XM_006519057.2	4158	chr14	55491240	55527454	0
Maf	chr8	115706893	115706894	-	Maf	NM_001025577.2	3642	chr8	115675587	115733662	0
Mamstr	chr7	45639191	45639192	+	Mamstr	XM_006541232.3	6205	chr7	45614038	45651517	0
Map7	chr10	20203590	20203591	+	Map7	XM_006512585.3	3793	chr10	20198153	20271352	0
Mapk8ip2	chr15	89453910	89453911	+	Mapk8ip2	NM_021921.3	3539	chr15	89447443	89463050	0
Mbp	chr18	82554462	82554463	+	Mbp	NM_001025251.2	2186	chr18	82517070	82586745	0
Mcoln3	chr3	146093276	146093277	+	Mcoln3	XM_006501083.3	1737	chr3	146034716	146327118	0
Mei1	chr15	82070056	82070057	+	Mei1	XM_017316770.1	2458	chr15	82058295	82125735	0
Mhrt	chr14	54968786	54968787	+	Mhrt	NR_033497.1	828	chr14	54904730	54999548	0
Mir7677	chr17	27091244	27091245	+	Mir7677	NR_106142.1	67	chr17	27087693	27162108	0
Mpped1	chr15	83779471	83779472	+	Mpped1	XM_006520819.2	3361	chr15	83606677	83810691	0
Msi1	chr5	115429603	115429604	+	Msi1	XM_006530177.1	3095	chr5	115393059	115431991	0
Myh7	chr14	54993564	54993565	-	Myh7	XM_017315842.1	6187	chr14	54904730	54999548	0
Myo7a	chr7	98103351	98103352	-	Myo7a	XM_006507428.2	7273	chr7	98048016	98148840	0
Myocd	chr11	65269661	65269662	-	Myocd	XM_011248895.1	7797	chr11	65266621	65275262	0
Ndrg2	chr14	51912203	51912204	-	Ndrg2	XM_017316048.1	2087	chr14	51905148	51926116	0
Nfatc2	chr2	168590364	168590365	-	Nfatc2	NM_001037177.2	3385	chr2	168382550	168656304	0
Nipal1	chr5	72647795	72647796	+	Nipal1	NM_001081205.1	4205	chr5	72642337	72652441	0
Nrbp2	chr15	76090012	76090013	-	Nrbp2	NM_144847.1	2496	chr15	76086086	76116915	0
Osbp2	chr11	3722226	3722227	-	Osbp2	NM_001302630.1	3088	chr11	3701888	3777846	0
Pabpc1l	chr2	164024769	164024770	+	Pabpc1l	XM_006499829.3	1800	chr2	164024516	164029219	0
Pde4c	chr8	70742976	70742977	+	Pde4c	XM_011242260.2	2478	chr8	70739479	70751667	0
Pdyn	chr2	129698657	129698658	-	Pdyn	NM_001286502.1	2316	chr2	129685220	129706149	0
Pga5	chr19	10678070	10678071	-	Pga5	NM_021453.4	1416	chr19	10672965	10679290	0
Plcd1	chr9	119085180	119085181	-	Plcd1	XM_006511984.2	2744	chr9	118875265	119181988	0
Pld2	chr11	70540059	70540060	+	Pld2	XM_017314339.1	3400	chr11	70539037	70549870	0
Plekha6	chr1	133163767	133163768	+	Plekha6	XR_387170.3	8169	chr1	133153895	133427490	0
Prokr1	chr6	87590576	87590577	-	Prokr1	XM_006506432.3	4014	chr6	87579896	87591754	0
Prrx2	chr2	30845063	30845064	+	Prrx2	XM_006497806.1	1472	chr2	30829758	30876843	0
Prss33	chr17	23835766	23835767	-	Prss33	NM_001081399.2	1384	chr17	23832015	23839061	0
Prune2	chr19	16955669	16955670	+	Prune2	XR_001782593.1	11470	chr19	16949863	16958305	0
Rab15	chr12	76816712	76816713	-	Rab15	XM_006515367.3	5758	chr12	76792774	76828053	0
Ramp3	chr11	6658532	6658533	+	Ramp3	NM_019511.3	1221	chr11	6654987	6678917	0
Rbp3	chr14	33954021	33954022	+	Rbp3	NM_015745.2	5276	chr14	33912595	33996000	0
Rltpr	chr8	105690905	105690906	+	Rltpr	NM_001033320.2	2504	chr8	105687483	105693911	0
Rnf144b	chr13	47194002	47194003	+	Rnf144b	NM_001170643.1	4540	chr13	47172400	47200802	0
Runx1	chr16	92697328	92697329	-	Runx1	NM_001111023.2	7121	chr16	92593404	92855853	0
Runx3	chr4	135120644	135120645	+	Runx3	NM_019732.2	3891	chr4	135052586	135181655	0
Scube1	chr15	83659135	83659136	-	Scube1	XM_006521243.2	7248	chr15	83606677	83810691	0
Sema3b	chr9	107603352	107603353	-	Sema3b	XM_006511673.1	2408	chr9	107595718	107606278	0
Sema6d	chr2	124610283	124610284	+	Sema6d	XM_006499111.3	6555	chr2	124609950	124663183	0
Sez6	chr11	77930838	77930839	+	Sez6	NM_001291225.1	4149	chr11	77911202	77979846	0
Sfrp5	chr19	42202251	42202252	-	Sfrp5	NM_018780.3	1900	chr19	42194787	42440857	0
Slc26a11	chr11	119355531	119355532	+	Slc26a11	XM_006533419.3	2399	chr11	119321115	119405758	0
Slc38a4	chr15	97020344	97020345	-	Slc38a4	XM_006521349.3	2972	chr15	96991626	97063945	0
Slc39a8	chr3	135825278	135825279	+	Slc39a8	NM_026228.5	3492	chr3	135823576	135834933	0
Slc4a3	chr1	75545913	75545914	+	Slc4a3	XM_006496452.3	4402	chr1	75542873	75560493	0
Slc6a9	chr4	117835257	117835258	+	Slc6a9	NM_008135.4	3272	chr4	117821794	117883187	0
Slc7a8	chr14	54737654	54737655	-	Slc7a8	XM_011245114.1	2806	chr14	54701523	54784940	0
Slc9a5	chr8	105355470	105355471	+	Slc9a5	XM_006531069.1	3039	chr8	105351731	105481709	0
Sorcs2	chr5	36398138	36398139	-	Sorcs2	NM_030889.2	5722	chr5	36355377	36401798	0
Sox5	chr6	144203974	144203975	-	Sox5	XM_006506937.3	7278	chr6	144199511	144207646	0
Spag4	chr2	156065152	156065153	+	Spag4	XM_006499540.3	1545	chr2	156034367	156070309	0
Spire2	chr8	123332712	123332713	+	Spire2	NM_172287.2	2333	chr8	123325048	123361861	0
Spon2	chr5	33218237	33218238	-	Spon2	NM_133903.3	2237	chr5	33202429	33240094	0
Spsb1	chr4	149909810	149909811	-	Spsb1	XM_006539234.2	3216	chr4	149842669	150002152	0
Stbd1	chr5	92603050	92603051	+	Stbd1	NM_175096.3	1985	chr5	92579268	92608207	0
Sv2a	chr3	96181226	96181227	+	Sv2a	NM_022030.3	3920	chr3	96180792	96195390	0
Tcf7l2	chr19	55893125	55893126	+	Tcf7l2	XM_017318134.1	3460	chr19	55883097	55899328	0
Tet3	chr6	83441677	83441678	-	Tet3	NM_183138.2	10907	chr6	83362910	83480042	0
Thsd4	chr9	60511034	60511035	-	Thsd4	NM_001040426.3	8796	chr9	60486683	60521834	0
Timp2	chr11	118355410	118355411	-	Timp2	NM_011594.3	3622	chr11	118326007	118452146	0
Tmcc3	chr10	94514856	94514857	+	Tmcc3	NM_172051.3	5528	chr10	94444189	94517905	0
Tmem121	chr12	113185902	113185903	+	Tmem121	NM_153776.2	1601	chr12	113178341	113194815	0
Tmem125	chr4	118543260	118543261	-	Tmem125	XM_006503014.2	1724	chr4	118466551	118617709	0
Tmem82	chr4	141618632	141618633	-	Tmem82	NM_145987.2	2066	chr4	141597736	141624082	0
Tnnc1	chr14	31208311	31208312	+	Tnnc1	NM_009393.2	703	chr14	31208009	31235218	0
Tox2	chr2	163202642	163202643	+	Tox2	XM_006499613.3	1832	chr2	163097017	163401018	0
Tph1	chr7	46662095	46662096	-	Tph1	XM_011250846.2	1454	chr7	46650736	46670108	0
Trabd2b	chr4	114564426	114564427	+	Trabd2b	XM_006503276.3	2428	chr4	114549025	114608696	0
Trim29	chr9	43310715	43310716	+	Trim29	XM_006510616.3	2975	chr9	43297369	43483768	0
Ttc7	chr17	87323213	87323214	+	Ttc7	XM_011246415.2	3684	chr17	87322184	87388282	0
Unc5a	chr13	54949410	54949411	+	Unc5a	NM_001311128.1	3827	chr13	54841608	55018054	0
Uqcc2	chr17	27133682	27133683	-	Uqcc2	XM_006524821.3	613	chr17	27087693	27162108	0
Vegfa	chr17	46025162	46025163	-	Vegfa	NM_001110266.1	2841	chr17	46000826	46100260	0
Vill	chr9	119052728	119052729	+	Vill	XM_006512059.3	2783	chr9	118875265	119181988	0
Wnt4	chr4	137277634	137277635	+	Wnt4	NM_009523.2	3823	chr4	137081096	137308030	0
XR_001781741.1	chr15	76110257	76110258	+	XR_001781741.1	XR_001781741.1	797	chr15	76086086	76116915	0
XR_001782200.1	chr17	27101575	27101576	-	XR_001782200.1	XR_001782200.1	701	chr17	27087693	27162108	0
XR_001784409.1	chr4	117294981	117294982	+	XR_001784409.1	XR_001784409.1	7285	chr4	117293762	117331936	0
XR_001784500.1	chr4	148949730	148949731	-	XR_001784500.1	XR_001784500.1	1384	chr4	148654230	148954644	0
XR_868040.2	chr4	117295816	117295817	+	XR_868040.2	XR_868040.2	6276	chr4	117293762	117331936	0
XR_876701.1	chr17	27101575	27101576	-	XR_876701.1	XR_876701.1	823	chr17	27087693	27162108	0
Zbtb16	chr9	48835944	48835945	-	Zbtb16	NM_001033324.2	5114	chr9	48645047	48888491	0
Zdbf2	chr1	63273233	63273234	+	Zdbf2	XM_011238606.2	12554	chr1	63254799	63273344	0
Zfp516	chr18	82910521	82910522	+	Zfp516	XM_006526504.3	7851	chr18	82859726	82923907	0
